2023-04-16 | 09:30:00 | Office Supplies | Office Depot | -45.00
2023-04-17 | 14:45:30 | Client Payment | Acme Corp | 1500.00
2023-04-18 | 10:00:00 | Web Hosting | HostingCompany | -25.00
2023-04-19 | 16:30:15 | Invoice 11 | AnotherVendor | 1200.00
2023-04-20 | 13:15:00 | Monthly Rent | Landlord | -800.00
2023-04-21 | 09:00:00 | Advertising | Ad Agency Inc. | -500.00
2023-05-03 | 12:00:00 | Lunch Meeting | Cafe X | -35.00
2023-06-05 | 15:30:00 | Consulting Fees | John Smith Consulting | 2500.00
2023-07-01 | 14:45:00 | Quarterly Taxes | Government Agency | -1500.00
2024-01-15 | 16:30:00 | Annual Membership | Trade Association | -200.00
2024-03-02 | 10:00:00 | Website Development | Web Development Inc. | -5000.00
2024-05-06 | 12:00:00 | Client Meeting | ABC Corp | -40.00
2024-07-01 | 15:00:00 | Rent Payment | Property Management LLC | -1500.00
2024-10-10 | 11:30:00 | Business Travel | Travel Agency | -1200.00
2025-01-01 | 09:00:00 | New Year’s Day Sale | Retail Store | 500.00
2025-02-14 | 14:00:00 | Valentine’s Day Event | Event Planning LLC | -800.00
2025-03-17 | 13:00:00 | St. Patrick’s Day Lunch | Restaurant | -50.00
2025-05-01 | 11:00:00 | Office Supplies | Staples Inc. | -200.00
2026-07-04 | 10:00:00 | Fourth of July Parade | City Events Department | 80.00
2023-05-04|21:09:40|Office Hours|Yearup|65.00
2024-09-08|23:23:00|Hot Dog Eating|Texas State Fair|500.0
2024-12-12|12:12:00|Water Challenge|Godie's Fair|70.0
1999-12-09|22:22:00|Coffee |Starbucks|-40.0
1999-12-09|12:12:00|Coca Cola Factory|Coca Cola|65.0
1999-12-09|22:22:00|Cowboys Game|Comboys Stadium|65.0
1999-12-09|22:22:00|Cowboys Game|Comboys Stadium|-65.0
